# Trajectory data for Atom 1 (Type 3)
# Time(ps)	X(Å)	Y(Å)	Z(Å)	Distance_from_origin(Å)
0.000	-8.220922	-10.146370	-2.701327	13.335274
1.000	-8.220583	-10.260229	-1.772704	13.266226
2.000	-8.073761	-9.995146	-2.975838	13.188789
3.000	-8.085142	-10.130227	-2.616099	13.222518
4.000	-8.222180	-10.485594	-1.637348	13.425082
5.000	-8.108673	-10.025621	-2.516151	13.137529
6.000	-7.958503	-10.279939	-2.488612	13.236620
7.000	-8.194717	-10.508215	-1.830253	13.450866
8.000	-8.052586	-10.207677	-2.675823	13.274066
9.000	-7.878793	-10.415280	-2.567166	13.309537
10.000	-7.990853	-10.347402	-2.350142	13.283283
11.000	-7.923208	-10.606319	-1.869439	13.370341
12.000	-7.926018	-10.560006	-2.170161	13.380773
13.000	-7.869449	-10.749887	-1.760992	13.438355
14.000	-7.890515	-10.468205	-2.245446	13.299833
15.000	-7.781454	-10.435575	-2.699587	13.294360
16.000	-7.787966	-10.460568	-2.599300	13.297829
17.000	-7.742397	-10.701358	-1.952449	13.351997
18.000	-7.570936	-10.805240	-2.139673	13.366020
19.000	-7.742385	-10.689114	-2.401316	13.415215
20.000	-7.608192	-10.644637	-2.132721	13.256749
21.000	-7.609313	-10.465593	-2.729943	13.224329
22.000	-7.701198	-10.721235	-2.427189	13.421794
23.000	-7.700362	-10.712302	-2.035058	13.348800
24.000	-7.536541	-10.546646	-2.753858	13.251978
25.000	-7.556576	-10.940063	-2.207902	13.478191
26.000	-7.586774	-10.945887	-1.891075	13.451682
27.000	-7.550228	-10.807215	-2.429917	13.405459
28.000	-7.580982	-10.786293	-2.357185	13.392973
29.000	-7.589715	-10.683673	-2.275820	13.301278
30.000	-7.459126	-10.702646	-2.758668	13.333996
31.000	-7.500419	-10.800749	-2.555111	13.395561
32.000	-7.405310	-10.700363	-2.735400	13.297323
33.000	-7.412316	-10.793952	-3.161899	13.470316
34.000	-7.310647	-11.067275	-1.879288	13.396338
35.000	-7.412748	-11.062895	-2.052205	13.473976
36.000	-7.395041	-10.631106	-3.061386	13.307108
37.000	-7.593898	-10.901063	-2.050134	13.442601
38.000	-7.289964	-10.819850	-2.645163	13.312010
39.000	-7.602942	-10.725190	-2.960245	13.475810
40.000	-7.329218	-10.847022	-2.922064	13.413194
41.000	-7.416014	-10.842501	-2.565578	13.384292
42.000	-7.304565	-10.492879	-3.359757	13.219120
43.000	-7.463332	-10.813686	-2.484881	13.372051
44.000	-7.351996	-10.725652	-2.952488	13.334491
45.000	-7.486459	-10.767112	-2.730611	13.395298
46.000	-7.305164	-10.820208	-2.791048	13.350366
47.000	-7.507708	-10.831991	-2.561746	13.426103
48.000	-7.311557	-10.518249	-3.340877	13.238349
49.000	-7.364958	-10.627301	-3.121179	13.301274
50.000	-7.374668	-10.737649	-3.119900	13.394648
